campaign_id,campaign_name,channel,region,campaign_type,target_audience,objective,start_date,end_date,total_budget,status,duration_days,daily_budget,start_quarter,start_year,budget_tier
CMP-0001,Webinar/Event - Organic Social - LATAM - Q2/2023,Organic Social,LATAM,Webinar/Event,Marketing Managers,Clicks,2023-05-23,2023-07-04,5563.06,Completed,42,132.45,2023Q2,2023,High (5K-15K)
CMP-0002,Seasonal Promo - Organic Social - Europe - Q1/2023,Organic Social,Europe,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2023-02-02,2023-04-11,369.01,Completed,68,5.43,2023Q1,2023,Low (<1K)
CMP-0003,Seasonal Promo - Meta Ads - LATAM - Q1/2025,Meta Ads,LATAM,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2025-01-03,2025-02-11,16422.17,Completed,39,421.08,2025Q1,2025,Premium (>15K)
CMP-0004,Product Launch - TikTok Ads - North America - Q1/2023,TikTok Ads,North America,Product Launch,Startup Founders,Conversions,2023-01-07,2023-05-04,19090.78,Completed,117,163.17,2023Q1,2023,Premium (>15K)
CMP-0005,Retargeting - Meta Ads - Europe - Q4/2023,Meta Ads,Europe,Retargeting,Marketing Managers,Clicks,2023-12-11,2024-01-21,3004.15,Completed,41,73.27,2023Q4,2023,Medium (1K-5K)
CMP-0006,Retargeting - Email Marketing - LATAM - Q1/2023,Email Marketing,LATAM,Retargeting,Startup Founders,Conversions,2023-02-14,2023-06-11,18378.43,Completed,117,157.08,2023Q1,2023,Premium (>15K)
CMP-0007,Product Launch - TikTok Ads - LATAM - Q4/2024,TikTok Ads,LATAM,Product Launch,Enterprise Decision Makers,Demo Requests,2024-10-05,2024-11-25,15653.73,Completed,51,306.94,2024Q4,2024,Premium (>15K)
CMP-0008,Lead Generation - Content/SEO - North America - Q4/2024,Content/SEO,North America,Lead Generation,General B2B,Impressions,2024-11-08,2024-11-27,1825.05,Completed,19,96.06,2024Q4,2024,Medium (1K-5K)
CMP-0009,Lead Generation - LinkedIn Ads - APAC - Q2/2024,LinkedIn Ads,APAC,Lead Generation,Enterprise Decision Makers,Sign-ups,2024-04-09,2024-05-28,28933.68,Completed,49,590.48,2024Q2,2024,Premium (>15K)
CMP-0010,Retargeting - LinkedIn Ads - LATAM - Q4/2024,LinkedIn Ads,LATAM,Retargeting,SMB Owners,Conversions,2024-11-30,2025-03-13,29478.36,Active,103,286.2,2024Q4,2024,Premium (>15K)
CMP-0011,Seasonal Promo - TikTok Ads - North America - Q2/2024,TikTok Ads,North America,Seasonal Promo,General B2B,Clicks,2024-04-18,2024-05-22,9796.66,Completed,34,288.14,2024Q2,2024,High (5K-15K)
CMP-0012,Lead Generation - Organic Social - Europe - Q1/2023,Organic Social,Europe,Lead Generation,General B2B,Conversions,2023-02-27,2023-06-19,1833.5,Completed,112,16.37,2023Q1,2023,Medium (1K-5K)
CMP-0013,Product Launch - Google Ads - Europe - Q3/2024,Google Ads,Europe,Product Launch,Marketing Managers,Impressions,2024-08-03,2024-09-13,21971.01,Completed,41,535.88,2024Q3,2024,Premium (>15K)
CMP-0014,Product Launch - LinkedIn Ads - LATAM - Q3/2023,LinkedIn Ads,LATAM,Product Launch,Developers,Sign-ups,2023-09-29,2023-10-31,7057.7,Completed,32,220.55,2023Q3,2023,High (5K-15K)
CMP-0015,Retargeting - Organic Social - North America - Q3/2024,Organic Social,North America,Retargeting,General B2B,Demo Requests,2024-08-20,2024-10-27,3085.59,Completed,68,45.38,2024Q3,2024,Medium (1K-5K)
CMP-0016,Lead Generation - Meta Ads - APAC - Q1/2025,Meta Ads,APAC,Lead Generation,Startup Founders,Sign-ups,2025-02-12,2025-03-09,1654.35,Active,25,66.17,2025Q1,2025,Medium (1K-5K)
CMP-0017,Lead Generation - Google Ads - LATAM - Q1/2023,Google Ads,LATAM,Lead Generation,General B2B,Sign-ups,2023-03-07,2023-06-05,9926.8,Completed,90,110.3,2023Q1,2023,High (5K-15K)
CMP-0018,Seasonal Promo - TikTok Ads - APAC - Q4/2024,TikTok Ads,APAC,Seasonal Promo,Marketing Managers,Demo Requests,2024-11-27,2024-12-12,18157.68,Completed,15,1210.51,2024Q4,2024,Premium (>15K)
CMP-0019,Retargeting - Organic Social - Europe - Q4/2023,Organic Social,Europe,Retargeting,General B2B,Conversions,2023-10-28,2023-11-25,3345.52,Completed,28,119.48,2023Q4,2023,Medium (1K-5K)
CMP-0020,Webinar/Event - Email Marketing - LATAM - Q3/2023,Email Marketing,LATAM,Webinar/Event,General B2B,Conversions,2023-07-02,2023-09-18,12938.2,Completed,78,165.87,2023Q3,2023,High (5K-15K)
CMP-0021,Retargeting - Google Ads - Europe - Q3/2023,Google Ads,Europe,Retargeting,General B2B,Demo Requests,2023-07-23,2023-10-22,4244.56,Completed,91,46.64,2023Q3,2023,Medium (1K-5K)
CMP-0022,Seasonal Promo - Content/SEO - LATAM - Q2/2024,Content/SEO,LATAM,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2024-05-15,2024-07-09,293.15,Completed,55,5.33,2024Q2,2024,Low (<1K)
