campaign_id,total_impressions,total_clicks,total_conversions,total_spend,total_revenue,avg_ctr,avg_cpc,avg_bounce_rate,days_active,campaign_name,channel,region,campaign_type,target_audience,objective,start_date,end_date,total_budget,status,duration_days,daily_budget,start_quarter,start_year,budget_tier,roas,budget_utilization
CMP-0001,35822,154,0,299.49,0.0,0.0040765714285714285,2.5923261904761907,0.523097619047619,42,Webinar/Event - Organic Social - LATAM - Q2/2023,Organic Social,LATAM,Webinar/Event,Marketing Managers,Clicks,2023-05-23,2023-07-04,5563.06,Completed,42,132.45,2023Q2,2023,High (5K-15K),0.0,0.0538
CMP-0002,59395,269,0,525.72,0.0,0.004337088235294118,2.832530882352941,0.5113838235294117,68,Seasonal Promo - Organic Social - Europe - Q1/2023,Organic Social,Europe,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2023-02-02,2023-04-11,369.01,Completed,68,5.43,2023Q1,2023,Low (<1K),0.0,1.4247
CMP-0003,611547,7675,214,16457.82,13911.210000000001,0.011988923076923076,2.5658410256410256,0.4973153846153846,39,Seasonal Promo - Meta Ads - LATAM - Q1/2025,Meta Ads,LATAM,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2025-01-03,2025-02-11,16422.17,Completed,39,421.08,2025Q1,2025,Premium (>15K),0.8453,1.0022
CMP-0004,1255454,23575,353,18614.28,56953.4,0.01750174358974359,0.9941837606837607,0.48594358974358975,117,Product Launch - TikTok Ads - North America - Q1/2023,TikTok Ads,North America,Product Launch,Startup Founders,Conversions,2023-01-07,2023-05-04,19090.78,Completed,117,163.17,2023Q1,2023,Premium (>15K),3.0597,0.975
CMP-0005,95950,1242,19,3001.07,2234.56,0.011766243902439025,3.2340707317073174,0.4955731707317073,41,Retargeting - Meta Ads - Europe - Q4/2023,Meta Ads,Europe,Retargeting,Marketing Managers,Clicks,2023-12-11,2024-01-21,3004.15,Completed,41,73.27,2023Q4,2023,Medium (1K-5K),0.7446,0.999
CMP-0006,7445673,1710501,91437,17943.64,4813573.96,0.214787452991453,0.013105982905982907,0.4866299145299145,117,Retargeting - Email Marketing - LATAM - Q1/2023,Email Marketing,LATAM,Retargeting,Startup Founders,Conversions,2023-02-14,2023-06-11,18378.43,Completed,117,157.08,2023Q1,2023,Premium (>15K),268.2607,0.9763
CMP-0007,874125,16966,214,15210.85,12213.449999999999,0.01745529411764706,1.2881019607843138,0.46978039215686274,51,Product Launch - TikTok Ads - LATAM - Q4/2024,TikTok Ads,LATAM,Product Launch,Enterprise Decision Makers,Demo Requests,2024-10-05,2024-11-25,15653.73,Completed,51,306.94,2024Q4,2024,Premium (>15K),0.8029,0.9717
CMP-0008,12890,346,2,160.35,210.6,0.025945684210526315,0.5669578947368421,0.501,19,Lead Generation - Content/SEO - North America - Q4/2024,Content/SEO,North America,Lead Generation,General B2B,Impressions,2024-11-08,2024-11-27,1825.05,Completed,19,96.06,2024Q4,2024,Medium (1K-5K),1.3134,0.0879
CMP-0009,258953,2222,121,28990.47,12042.32,0.007911142857142856,16.741469387755103,0.5003714285714286,49,Lead Generation - LinkedIn Ads - APAC - Q2/2024,LinkedIn Ads,APAC,Lead Generation,Enterprise Decision Makers,Sign-ups,2024-04-09,2024-05-28,28933.68,Completed,49,590.48,2024Q2,2024,Premium (>15K),0.4154,1.002
CMP-0010,261223,2210,78,29512.68,4475.26,0.007752446601941748,17.526556310679613,0.5033922330097088,103,Retargeting - LinkedIn Ads - LATAM - Q4/2024,LinkedIn Ads,LATAM,Retargeting,SMB Owners,Conversions,2024-11-30,2025-03-13,29478.36,Active,103,286.2,2024Q4,2024,Premium (>15K),0.1516,1.0012
